output,SoloDemand
22.06426392,50
67.36815897,50
108.9934611,50
133.269396,50
120.7347015,50
112.8286091,50
99.49623431,50
78.8548421,50
78.48890508,50
86.84505792,50
92.4782142,50
98.35869669,50
101.7728301,50
107.9748794,50
111.823731,50
116.1880333,50
109.8648794,50
116.1880333,50
123.8903918,50
128.7241811,50
115.5356633,50
106.1617043,50
115.9491929,50
138.3372412,50
166.0574445,50
214.0894654,50
243.6184249,50
259.2330642,50
253.3914676,50
223.5694135,50
193.8139669,50
157.6200111,50
142.9707198,50
145.1206331,50
148.7025304,50
141.4942653,50
134.5513024,50
134.5513024,50
132.3110179,50
116.1561424,50
89.93186479,50
70.20465607,50
71.37471875,50
72.84633376,50
68.11485808,50
62.19729015,50
63.09597807,50
65.87479268,50
73.21367316,50
104.1343273,50
114.9504783,50
111.158664,50
103.2931257,50
91.45560024,50
70.77929114,50
36.12873312,50
24.63568326,50
25.88046476,50
